state1,ccode1,year,irst1,milex1,milper1,pec1,tpop1,upop1,cinc1,MIDs1,Wars1,GP1,Dem1,state2,ccode2,irst2,milex2,milper2,pec2,tpop2,upop2,cinc2,MIDs2,Wars2,GP2,Dem2,irstDif,milexDif,milperDif,pecDif,tpopDif,upopDif,CincDif,BothGP,Nuclear1,Nuclear2,BothNuclear,OneNuclear,MIDs,HighMIDs,FatalMIDs,Wars,Prev1MIDs,Prev1HighMIDs,Prev1FatalMIDs,Prev1Wars,Prev5MIDs,Prev5HighMIDs,Prev5FatalMIDs,Prev5Wars,Prev10MIDs,Prev10HighMIDs,Prev10FatalMIDs,Prev10Wars,Prev20MIDs,Prev20HighMIDs,Prev20FatalMIDs,Prev20Wars,Prev30MIDs,Prev30HighMIDs,Prev30FatalMIDs,Prev30Wars,JointDem,JointNonDem,Contiguous,Trade,Distance,Alliance,WarWithAlly,logPrev1MIDs,logPrev5MIDs,logPrev10MIDs,logPrev20MIDs,logPrev30MIDs
UKG,200,1846,2210,13117,191,50672,28002,4154,0.3028882,0,0,1,0,USA,2,777,9506,39,4863,20794,846,0.0827573,0,0,0,1,0.64841628959276,0.275291606312419,0.795811518324607,0.90402983896432,0.257410184986787,0.796340876263842,0.72677278282878,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0,0,1.09861228866811,0,0
FRN,220,1846,522,19344,388,6640,35400,1536,0.1373469,0,0,1,0,USA,2,777,9506,39,4863,20794,846,0.0827573,0,0,0,1,0.328185328185328,0.50858147229115,0.899484536082474,0.267620481927711,0.412598870056497,0.44921875,0.397457823947974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0.693147180559945,0
FRN,220,1846,522,19344,388,6640,35400,1536,0.1373469,0,0,1,0,UKG,200,2210,13117,191,50672,28002,4154,0.3028882,0,0,1,0,0.763800904977376,0.321908602150538,0.507731958762887,0.868961161982949,0.208983050847458,0.630235917188252,0.546542585680129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,340.793,0,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1846,215,13957,677,99,65800,1022,0.128714,0,0,1,0,USA,2,777,9506,39,4863,20794,846,0.0827573,0,0,0,1,0.723294723294723,0.318908074801175,0.942392909896603,0.979642196175201,0.683981762917933,0.172211350293542,0.357045076681635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1846,215,13957,677,99,65800,1022,0.128714,0,0,1,0,UKG,200,2210,13117,191,50672,28002,4154,0.3028882,0,0,1,0,0.902714932126697,0.0601848534785412,0.717872968980798,0.998046258288601,0.574437689969605,0.753972075108329,0.575044521377855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,2500.5,0,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1846,215,13957,677,99,65800,1022,0.128714,0,0,1,0,FRN,220,522,19344,388,6640,35400,1536,0.1373469,0,0,1,0,0.588122605363985,0.278484284532672,0.426883308714919,0.985090361445783,0.462006079027356,0.334635416666667,0.0628547131387749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,2486.844,0,0,0,0,0.693147180559945,0.693147180559945,0
UKG,200,1847,2000,14680,193,51972,27972,4246,0.2975292,0,0,1,0,USA,2,813,7431,58,5767,21406,918,0.0845096,0,0,0,1,0.5935,0.493801089918256,0.699481865284974,0.889036404217656,0.234734734734735,0.783796514366463,0.71596199633515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0.693147180559945,0,0.693147180559945,0,0
FRN,220,1847,592,20679,394,7696,35470,1559,0.1464414,0,0,1,0,USA,2,813,7431,58,5767,21406,918,0.0845096,0,0,0,1,0.271832718327183,0.640649934716379,0.852791878172589,0.250649688149688,0.396504087961658,0.411161000641437,0.42291182684678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0.693147180559945,0
FRN,220,1847,592,20679,394,7696,35470,1559,0.1464414,0,0,1,0,UKG,200,2000,14680,193,51972,27972,4246,0.2975292,0,0,1,0,0.704,0.290101068717056,0.510152284263959,0.851920264757947,0.211389906963631,0.632830899670278,0.507808309234858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,340.793,0,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1847,195,14086,803,94,66500,1028,0.1371981,0,0,1,0,USA,2,813,7431,58,5767,21406,918,0.0845096,0,0,0,1,0.760147601476015,0.472454919778503,0.927770859277709,0.983700364140801,0.678105263157895,0.107003891050584,0.384032286161397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1847,195,14086,803,94,66500,1028,0.1371981,0,0,1,0,UKG,200,2000,14680,193,51972,27972,4246,0.2975292,0,0,1,0,0.9025,0.0404632152588556,0.759651307596513,0.99819133379512,0.579368421052632,0.757889778615167,0.538875175949117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,NA,2500.5,0,0,0,0,0,0.693147180559945,0
RUS,365,1847,195,14086,803,94,66500,1028,0.1371981,0,0,1,0,FRN,220,592,20679,394,7696,35470,1559,0.1464414,0,0,1,0,0.670608108108108,0.318825861985589,0.5093399750934,0.987785862785863,0.466616541353383,0.340602950609365,0.0631194457305107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,2486.844,0,0,0,0,0.693147180559945,0.693147180559945,0
UKG,200,1848,2090,14883,208,53858,27820,4339,0.3041608,0,0,1,0,USA,2,813,8106,60,6424,22018,996,0.0871742,0,0,0,1,0.611004784688995,0.455351743600081,0.711538461538462,0.880723383712726,0.208554996405464,0.770454021663978,0.713394362455649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0
FRN,220,1848,472,22227,387,6095,35520,1583,0.1356841,0,0,1,1,USA,2,813,8106,60,6424,22018,996,0.0871742,0,0,0,1,0.419434194341943,0.635308408692131,0.844961240310077,0.051214196762142,0.380123873873874,0.370814908401769,0.357520888593431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,6168.601,0,0,0,0,0,0.693147180559945,0
FRN,220,1848,472,22227,387,6095,35520,1583,0.1356841,0,0,1,1,UKG,200,2090,14883,208,53858,27820,4339,0.3041608,0,0,1,0,0.774162679425837,0.330408962073154,0.462532299741602,0.886832039808385,0.216779279279279,0.635169393869555,0.553906683570006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,340.793,0,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1848,198,18003,526,107,67100,1035,0.1225773,0,0,1,0,USA,2,813,8106,60,6424,22018,996,0.0871742,0,0,0,1,0.756457564575646,0.549741709715048,0.885931558935361,0.983343711083437,0.671862891207153,0.0376811594202899,0.288822644975864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1848,198,18003,526,107,67100,1035,0.1225773,0,0,1,0,UKG,200,2090,14883,208,53858,27820,4339,0.3041608,0,0,1,0,0.905263157894737,0.173304449258457,0.604562737642586,0.998013294218129,0.585394932935916,0.761465775524314,0.59699836402324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,NA,2500.5,0,0,0,0,0,0.693147180559945,0
RUS,365,1848,198,18003,526,107,67100,1035,0.1225773,0,0,1,0,FRN,220,472,22227,387,6095,35520,1583,0.1356841,0,0,1,1,0.580508474576271,0.190039141584559,0.26425855513308,0.982444626743232,0.470640834575261,0.346178142766898,0.0965979064606686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,2486.844,0,0,0,0,0.693147180559945,0.693147180559945,0
UKG,200,1854,3119,76329,234,70914,27658,4943,0.336089,0,0,1,0,USA,2,668,5765,21,13632,26561,1623,0.0742004,0,0,0,1,0.785828791279256,0.92447169489971,0.91025641025641,0.807767154581606,0.0396630269723046,0.671656888529233,0.779223955559391,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0,0,1.09861228866811,1.09861228866811,0
FRN,220,1854,771,30356,440,10830,36230,1959,0.1253639,0,0,1,0,USA,2,668,5765,21,13632,26561,1623,0.0742004,0,0,0,1,0.133592736705577,0.810086967979971,0.952272727272727,0.205545774647887,0.266878277670439,0.171516079632466,0.408119881401265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0.693147180559945,0
FRN,220,1854,771,30356,440,10830,36230,1959,0.1253639,0,0,1,0,UKG,200,3119,76329,234,70914,27658,4943,0.336089,0,0,1,0,0.752805386341776,0.602300567281112,0.468181818181818,0.847279803705897,0.236599503174165,0.603681974509407,0.626991957487451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,340.793,0,0,0,0,0,0.693147180559945,0.693147180559945
AUH,300,1854,255,17799,540,1205,36983,931,0.0803422,0,0,1,NA,USA,2,668,5765,21,13632,26561,1623,0.0742004,0,0,0,1,0.618263473053892,0.676105399179729,0.961111111111111,0.911605046948357,0.281805153719276,0.426370918052988,0.076445504355121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0.693147180559945,0,0,0,0
AUH,300,1854,255,17799,540,1205,36983,931,0.0803422,0,0,1,NA,UKG,200,3119,76329,234,70914,27658,4943,0.336089,0,0,1,0,0.918243026611093,0.766812089769288,0.566666666666667,0.983007586654257,0.25214287645675,0.811652842403399,0.760949629413638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,1,0,0,0,0,0
AUH,300,1854,255,17799,540,1205,36983,931,0.0803422,0,0,1,NA,FRN,220,771,30356,440,10830,36230,1959,0.1253639,0,0,1,0,0.669260700389105,0.413657925945447,0.185185185185185,0.888734995383195,0.0203607062704486,0.52475752935171,0.359128106257064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,1,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1854,231,31358,1100,141,70600,1079,0.1369681,0,0,1,0,USA,2,668,5765,21,13632,26561,1623,0.0742004,0,0,0,1,0.654191616766467,0.81615536705147,0.980909090909091,0.989656690140845,0.623781869688385,0.335181762168823,0.458265099683795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1854,231,31358,1100,141,70600,1079,0.1369681,0,0,1,0,UKG,200,3119,76329,234,70914,27658,4943,0.336089,0,0,1,0,0.925937800577108,0.589173184503924,0.787272727272727,0.998011676114731,0.608243626062323,0.781711511227999,0.592464793551708,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,NA,2500.5,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0.693147180559945
RUS,365,1854,231,31358,1100,141,70600,1079,0.1369681,0,0,1,0,FRN,220,771,30356,440,10830,36230,1959,0.1253639,0,0,1,0,0.700389105058366,0.0319535684673767,0.6,0.986980609418283,0.486827195467422,0.449208779989791,0.084721917001112,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,2486.844,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0.693147180559945
RUS,365,1854,231,31358,1100,141,70600,1079,0.1369681,0,0,1,0,AUH,300,255,17799,540,1205,36983,931,0.0803422,0,0,1,NA,0.0941176470588235,0.432393647554053,0.509090909090909,0.88298755186722,0.476161473087819,0.137164040778499,0.413424001647099,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0
UKG,200,1855,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.78256880733945,0.838663745892662,0.9209726443769,0.795265577619094,0.0156710516857163,0.651623119556611,0.744572312035761,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0
FRN,220,1855,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.162544169611307,0.865614451236201,0.95968992248062,0.157736673264624,0.240964523281596,0.150579150579151,0.480871509936869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0.693147180559945,0
FRN,220,1855,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,UKG,200,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,0.740366972477064,0.16704680229906,0.489922480620155,0.827559704308213,0.228880266075388,0.589865399841647,0.507968272107014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,340.793,1,0,0,0,0,0.693147180559945,0.693147180559945
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.611814345991561,0.654994730062068,0.939110070257611,0.90894819466248,0.261872675327476,0.455681818181818,0.0772157994878773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0.693147180559945,0,0,0
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,UKG,200,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,0.915596330275229,0.53236582694414,0.229508196721311,0.981358561227484,0.250121287262142,0.810372129849565,0.76429536517326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,FRN,220,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,0.674911660777385,0.610482620198887,0.337984496124031,0.891896272285251,0.0275456848687402,0.537644787644788,0.520956431334028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,0,0,1,0,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.646976090014065,0.851993267854003,0.983225806451613,0.989352262644188,0.614824191279888,0.381818181818182,0.503954142907868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
